"long","lat","K","dK_dx","dK_dy"
-122.38,35.18,1.78226998017309e-06,-2.13315046862358e-05,-2.14900698552763e-05
-122.34,35.18,1.42410214925182e-06,-1.69266693464305e-05,-2.29536146287895e-05
-122.3,35.18,1.04154190543866e-06,-1.19873696698968e-05,-1.33897014433859e-05
-122.26,35.18,8.18380214715565e-07,-8.7664807750507e-06,3.70165917328161e-06
-122.22,35.18,8.80074534270259e-07,-7.91278886263226e-06,2.3499440349377e-05
-122.18,35.18,1.27173187342654e-06,-1.2155352165665e-05,2.89910514839785e-05
-122.14,35.18,1.75491606482618e-06,-2.26233191566097e-05,1.32259856573877e-05
-122.1,35.18,1.97534915911598e-06,-3.164982455847e-05,-9.77612236983986e-06
-122.06,35.18,1.81241378628532e-06,-3.13648376316728e-05,-2.07121018500155e-05
-122.02,35.18,1.46721208878506e-06,-2.82061880892627e-05,-2.30596955220972e-05
-121.98,35.18,1.08288383008344e-06,-2.39381109289942e-05,-2.06626839394543e-05
-121.94,35.18,7.38505764425865e-07,-1.68203620906865e-05,-2.08832010352629e-06
-121.9,35.18,7.03700429367093e-07,-1.11459928192469e-05,9.69814860601933e-06
-121.86,35.18,8.65336239467415e-07,-8.52590626293066e-06,-8.41968969607783e-06
-121.82,35.18,7.25008077866118e-07,-6.64823193225455e-06,-1.1019047083999e-05
-121.78,35.18,5.41357293132802e-07,2.24115921448887e-07,-7.36586315190999e-06
-121.74,35.18,4.18592907267636e-07,5.14894457943465e-06,-2.33374421732779e-06
-121.7,35.18,3.79697170312173e-07,1.0314847576709e-05,3.42529935395726e-06
-121.66,35.18,4.36785492878127e-07,1.22770579990639e-05,1.91068487183041e-06
-121.62,35.18,4.68630240741967e-07,1.2479587763144e-05,1.91068487183041e-06
-123.98,35.22,1.83505882986504e-06,-1.76346816102056e-05,-2.48971361319561e-05
-123.94,35.22,1.42010656099911e-06,-1.02907223299347e-05,-2.96706018755337e-05
-123.9,35.22,9.25596529740214e-07,-3.5338081337464e-06,2.68642743795304e-06
-123.86,35.22,9.70370320372764e-07,5.93388117556718e-07,1.59526588612571e-05
-123.82,35.22,1.23624796806038e-06,-6.24563525411188e-07,2.25047214933105e-05
-123.78,35.22,1.61132665961556e-06,4.39170403628064e-06,4.78122917206682e-05
-123.74,35.22,2.40819818829336e-06,-4.1624130320025e-06,1.88204848667404e-05
-123.7,35.22,2.72187293607237e-06,-2.12990547849802e-05,6.43650742782551e-06
-123.66,35.22,2.82914805986946e-06,-1.33311654238497e-05,1.25669523863692e-05
-123.62,35.22,3.03859726630894e-06,1.45262486406086e-05,-1.19387189493393e-05
-123.58,35.22,2.83961861715329e-06,1.20251366310618e-05,1.53136489909891e-05
-123.54,35.22,3.09484610033644e-06,-3.85926744234909e-06,2.49248395486379e-05
-123.5,35.22,3.51026009281374e-06,-2.88531435880731e-06,-6.2317471111555e-05
-123.46,35.22,2.47163557428782e-06,2.4914895126983e-05,-4.34195983823966e-05
-123.42,35.22,1.74797560124788e-06,3.51034893876815e-05,-5.00673426298229e-06
-123.38,35.22,1.66453003019818e-06,2.63571618712257e-05,-2.76953133118785e-05
-123.34,35.22,1.2029414750002e-06,2.51909656976632e-05,-1.66717399129092e-05
-123.3,35.22,9.2507914311838e-07,3.0515486826002e-05,9.0369646776152e-06
-123.26,35.22,1.07569522107863e-06,3.10108759659945e-05,3.21447777050203e-06
-123.22,35.22,1.129269850587e-06,2.61163563591205e-05,-1.39787643450377e-05
-123.18,35.22,8.96290444836372e-07,1.38682696529072e-05,8.05876458361703e-06
-123.14,35.22,1.03060318789666e-06,-2.89870379144915e-06,1.67589945100266e-05
-123.1,35.22,1.30991976306377e-06,-6.39690594830863e-06,5.16155218114509e-06
-123.06,35.22,1.39594563274952e-06,-7.60803775376529e-06,-9.67867606208758e-06
