"pixel_idx","AOD"
1238,1.42662375347572
1239,NA
1240,1.25905677959236
1241,NA
1242,NA
1243,1.1214276164028
1244,NA
1245,1.16007320729841
1246,NA
1247,NA
1248,1.2942346704076
1249,NA
1250,1.19923895320608
1251,NA
1252,1.30615970568397
1253,NA
1254,NA
1255,1.31961309766242
1256,NA
1257,1.14354383691534
1258,NA
1259,NA
1260,0.89993790626977
1261,NA
1262,NA
1263,NA
1264,NA
1265,NA
1266,NA
1267,NA
1268,NA
1269,NA
1270,NA
1271,NA
1272,NA
1273,NA
1274,NA
1275,NA
1276,NA
1277,NA
1278,NA
1279,NA
1280,NA
1281,NA
1282,NA
1283,NA
1284,NA
1285,NA
1286,NA
1287,NA
1288,NA
1289,NA
1290,NA
1291,NA
1292,NA
1293,NA
1294,NA
1295,NA
1296,NA
1297,NA
1298,NA
1299,NA
1300,NA
1301,NA
1302,NA
1303,NA
1304,NA
1305,NA
1306,NA
1307,NA
1308,NA
1309,NA
1310,NA
1311,NA
1312,NA
1313,NA
1314,NA
1315,NA
1316,NA
1317,NA
1318,NA
1319,NA
1320,NA
1321,NA
1322,NA
1323,NA
1324,NA
1325,NA
1326,NA
1327,NA
1328,NA
1329,NA
1330,NA
1331,NA
1332,NA
1333,NA
1334,NA
1335,NA
1336,NA
1337,NA
1338,NA
1339,NA
1340,NA
1341,NA
1342,NA
1343,NA
1344,NA
1345,NA
1346,NA
1347,NA
1348,NA
1349,NA
1350,NA
1351,NA
1352,NA
1353,NA
1354,NA
1355,NA
1356,NA
1357,NA
1358,NA
1359,NA
1360,NA
1361,NA
1362,NA
1363,NA
1364,NA
1365,NA
1366,NA
1367,NA
1368,NA
1369,NA
1370,NA
1371,NA
1372,NA
1373,NA
1374,NA
1375,NA
1376,NA
1377,NA
1378,NA
1379,NA
1380,NA
1381,NA
1382,0.163648854206258
1383,NA
1384,0.152224708941503
1385,NA
1386,NA
1387,0.154209003987489
1388,NA
1389,0.14422973375622
1390,NA
1391,NA
1392,0.141185863685678
1393,NA
1394,0.126801330018983
1395,NA
1396,0.165690944253583
1397,NA
1398,NA
1399,0.237048505907296
1400,NA
1401,0.336096294869397
1402,NA
1403,NA
1404,0.616800194708048
1405,NA
1406,0.8520643801603
1407,NA
1408,0.800665358969127
1409,NA
1410,NA
1411,0.826634579570964
1412,NA
1413,1.02358453213528
1414,NA
1415,NA
1416,1.11657283629029
1417,NA
1418,1.17007174253013
1419,NA
1420,1.12705299653317
1421,NA
1422,NA
1423,1.02693278921288
1424,NA
1425,1.11503163625457
1426,NA
1427,NA
1428,1.28765888358854
1429,NA
1430,1.29151830534465
1431,NA
1432,1.34363013155235
1433,NA
1434,NA
1435,1.51404832550179
1436,NA
1437,1.29564743710701
1438,NA
1439,NA
1440,0.935674482097966
1441,NA
1442,NA
1443,NA
1444,NA
1445,NA
1446,NA
1447,NA
1448,NA
1449,NA
1450,NA
1451,NA
1452,NA
1453,NA
1454,NA
1455,NA
1456,NA
1457,NA
1458,NA
1459,NA
1460,NA
1461,NA
1462,NA
1463,NA
1464,NA
1465,NA
1466,NA
1467,NA
1468,NA
1469,NA
1470,NA
1471,NA
1472,NA
1473,NA
1474,NA
1475,NA
1476,NA
1477,NA
1478,NA
1479,NA
1480,NA
1481,NA
1482,NA
1483,NA
1484,NA
1485,NA
1486,NA
1487,NA
1488,NA
1489,NA
1490,NA
1491,NA
1492,NA
1493,NA
1494,NA
1495,NA
1496,NA
1497,NA
1498,NA
1499,NA
1500,NA
1501,NA
1502,0.158813339094195
1503,NA
1504,0.145404898783454
1505,NA
1506,NA
1507,0.149277163873194
1508,NA
1509,0.138103463614243
1510,NA
1511,NA
1512,0.125619743324933
1513,NA
1514,0.129780983421369
1515,NA
1516,0.165671679253137
1517,NA
1518,NA
1519,0.257276756376086
1520,NA
1521,0.397230562952852
1522,NA
1523,NA
1524,0.812821574250847
1525,NA
1526,0.808564009152178
1527,NA
1528,0.776429988407472
1529,NA
1530,NA
1531,0.847040068043862
1532,NA
1533,0.826730904573196
1534,NA
1535,NA
1536,0.825844714552659
1537,NA
1538,1.1391321518131
1539,NA
1540,0.970521014905535
1541,NA
1542,NA
1543,1.06438395008081
1544,NA
1545,1.1028946859733
1546,NA
1547,NA
1548,1.28136565010936
1549,NA
1550,1.37237351221847
1551,NA
1552,1.40832200305158
1553,NA
1554,NA
1555,1.13456634670729
1556,NA
1557,0.953655149181335
1558,NA
1559,NA
1560,0.858229180303169
1561,NA
1562,NA
1563,NA
1564,NA
1565,NA
1566,NA
1567,NA
1568,NA
1569,NA
1570,NA
1571,NA
1572,NA
1573,NA
1574,NA
1575,NA
1576,NA
1577,NA
1578,NA
1579,NA
1580,NA
1581,NA
1582,NA
1583,NA
1584,NA
1585,NA
1586,NA
1587,NA
1588,NA
1589,NA
1590,NA
1591,NA
1592,NA
1593,NA
1594,NA
1595,NA
1596,NA
1597,NA
1598,NA
1599,NA
1600,NA
1601,NA
1602,NA
1603,NA
1604,NA
1605,NA
1606,NA
1607,NA
1608,NA
1609,NA
1610,NA
1611,NA
1612,NA
1613,NA
1614,NA
1615,NA
1616,NA
1617,NA
1618,NA
1619,NA
1620,NA
1621,NA
1622,0.153958558981685
1623,NA
1624,0.155480494016956
1625,NA
1626,NA
1627,0.16879903099228
1628,NA
1629,0.130269030099347
1630,NA
1631,NA
1632,0.124977576643384
1633,NA
1634,0.157503319063835
1635,NA
1636,0.203090731786991
1637,NA
1638,NA
1639,0.335222948182491
1640,NA
1641,0.553399078238726
1642,NA
1643,NA
1644,0.79230434877536
1645,NA
1646,0.770740391608948
1647,NA
1648,0.64256392197179
1649,NA
1650,NA
1651,0.548274588119966
1652,NA
1653,0.559775793386507
1654,NA
1655,NA
1656,0.583548803937447
1657,NA
1658,1.00710910375346
1659,NA
1660,1.10478265601705
1661,NA
1662,NA
1663,1.14589416696981
1664,NA
1665,1.17689155268818
1666,NA
1667,NA
1668,1.34328336154431
1669,NA
1670,1.45249022740851
1671,NA
1672,1.2582861795745
1673,NA
1674,NA
1675,0.925399815193183
1676,NA
1677,0.931416916999297
1678,NA
1679,NA
1680,0.895089547824076
1681,NA
1682,NA
1683,NA
1684,NA
1685,NA
1686,NA
1687,NA
1688,NA
1689,NA
1690,NA
1691,NA
1692,NA
1693,NA
1694,NA
1695,NA
1696,NA
1697,NA
1698,NA
1699,NA
1700,NA
1701,NA
1702,NA
1703,NA
1704,NA
1705,NA
1706,NA
1707,NA
1708,NA
1709,NA
1710,NA
1711,NA
1712,NA
1713,NA
1714,NA
1715,NA
1716,NA
1717,NA
1718,NA
1719,NA
1720,NA
1721,NA
1722,NA
1723,NA
1724,NA
1725,NA
1726,NA
1727,NA
1728,NA
1729,NA
1730,NA
1731,NA
1732,NA
1733,NA
1734,NA
1735,NA
1736,NA
1737,NA
1738,NA
1739,NA
1740,NA
1741,NA
1742,NA
1743,NA
1744,NA
1745,NA
1746,NA
1747,NA
1748,NA
1749,NA
1750,NA
1751,NA
1752,NA
1753,NA
1754,NA
1755,NA
1756,NA
1757,NA
1758,NA
1759,NA
1760,NA
1761,NA
1762,NA
1763,NA
1764,NA
1765,NA
1766,NA
1767,NA
1768,NA
1769,NA
1770,NA
1771,NA
1772,NA
1773,NA
1774,NA
1775,NA
1776,NA
1777,NA
1778,NA
1779,NA
1780,NA
1781,NA
1782,NA
1783,NA
1784,NA
1785,NA
1786,NA
1787,NA
1788,NA
1789,NA
1790,NA
1791,NA
1792,NA
1793,NA
1794,NA
1795,NA
1796,NA
1797,NA
1798,NA
1799,NA
1800,NA
1801,NA
1802,0.182567084644688
1803,NA
1804,0.166345954268763
1805,NA
1806,NA
1807,0.11336720304098
1808,NA
1809,0.140312516998771
1810,NA
1811,NA
1812,0.179869984582183
1813,NA
1814,0.173435474433063
1815,NA
1816,0.201716495088476
1817,NA
1818,NA
1819,0.364582808862906
1820,NA
1821,0.567135023557057
1822,NA
1823,NA
1824,0.827983129602217
1825,NA
1826,0.899995701271109
1827,NA
1828,0.667043315872434
1829,NA
1830,NA
1831,0.740693412579276
1832,NA
1833,0.795926168859296
1834,NA
1835,NA
1836,0.891904401083593
1837,NA
1838,1.05168831478659
1839,NA
1840,1.42304046339268
1841,NA
1842,NA
1843,1.2560899695236
1844,NA
1845,1.24691982931108
1846,NA
1847,NA
1848,1.3501224367028
1849,NA
1850,1.31647932425646
1851,NA
1852,1.13126817863085
1853,NA
1854,NA
1855,0.882849850873754
1856,NA
1857,1.51976360896758
1858,NA
1859,NA
1860,1.01681866397848
1861,NA
1862,NA
1863,NA
1864,NA
1865,NA
1866,NA
1867,NA
1868,NA
1869,NA
1870,NA
1871,NA
1872,NA
1873,NA
1874,NA
1875,NA
1876,NA
1877,NA
1878,NA
1879,NA
1880,NA
1881,NA
1882,NA
1883,NA
1884,NA
1885,NA
1886,NA
1887,NA
1888,NA
1889,NA
1890,NA
1891,NA
1892,NA
1893,NA
1894,NA
1895,NA
1896,NA
1897,NA
1898,NA
1899,NA
1900,NA
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,NA
1908,NA
1909,NA
1910,NA
1911,NA
1912,NA
1913,NA
1914,NA
1915,NA
1916,NA
1917,NA
1918,NA
1919,NA
1920,NA
1921,NA
1922,0.153727378976328
1923,NA
1924,0.15017105989391
1925,NA
1926,NA
1927,0.135791663560667
1928,NA
1929,0.157021694052673
1930,NA
1931,NA
1932,0.172009864400025
1933,NA
1934,0.165151524241082
1935,NA
1936,0.209576615270635
1937,NA
1938,NA
1939,0.312721427661018
1940,NA
1941,0.638736608549758
1942,NA
1943,NA
1944,0.930511461978313
1945,NA
1946,0.852449680169229
1947,NA
1948,0.746472912713216
1949,NA
1950,NA
1951,0.779897688487836
1952,NA
1953,0.905216516392102
1954,NA
1955,NA
1956,0.946578472350666
1957,NA
1958,1.28907165028795
1959,NA
1960,1.41986173831901
1961,NA
1962,NA
1963,1.2890909152884
1964,NA
1965,1.18650478791096
1966,NA
1967,NA
1968,1.25632114952896
1969,NA
1970,1.254266216148
1971,NA
1972,0.976015393032867
1973,NA
1974,NA
1975,1.10533491936318
1976,NA
1977,1.64144777345427
1978,NA
1979,NA
1980,1.19089720801276
1981,NA
1982,NA
1983,NA
1984,NA
1985,NA
1986,NA
1987,NA
1988,NA
1989,NA
1990,NA
1991,NA
1992,NA
1993,NA
1994,NA
1995,NA
1996,NA
1997,NA
1998,NA
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
2020,NA
2021,NA
2022,NA
2023,NA
2024,NA
2025,NA
2026,NA
2027,NA
2028,NA
2029,NA
2030,NA
2031,NA
2032,NA
2033,NA
2034,NA
2035,NA
2036,NA
2037,NA
2038,NA
2039,NA
2040,NA
2041,NA
2042,NA
2043,NA
2044,NA
2045,NA
2046,NA
2047,NA
2048,NA
2049,NA
2050,NA
2051,NA
2052,NA
2053,NA
2054,NA
2055,NA
2056,NA
2057,NA
2058,NA
2059,NA
2060,NA
2061,NA
2062,NA
2063,NA
2064,NA
2065,NA
2066,NA
2067,NA
2068,NA
2069,NA
2070,NA
2071,NA
2072,NA
2073,NA
2074,NA
2075,NA
2076,NA
2077,NA
2078,NA
2079,NA
2080,NA
2081,NA
2082,NA
2083,NA
2084,NA
2085,NA
2086,NA
2087,NA
2088,NA
2089,NA
2090,NA
2091,NA
2092,NA
2093,NA
2094,NA
2095,NA
2096,NA
2097,NA
2098,NA
2099,NA
2100,NA
2101,NA
2102,0.12748844836824
2103,NA
2104,0.142322498712019
2105,NA
2106,NA
2107,0.11691196312313
2108,NA
2109,0.130281873432978
2110,NA
2111,NA
2112,0.131900133470481
2113,NA
2114,0.148622153858014
2115,NA
2116,0.194781094927748
2117,NA
2118,NA
2119,0.462121506123367
2120,NA
2121,0.659260255692061
2122,NA
2123,NA
2124,0.933131502039032
2125,NA
